ScreenID,URL,Category,Platform,Screenshot,Source,Citation,ComponentID,ComponentType,BBoxX,BBoxY,BBoxW,BBoxH,PatternType,Subtype,Severity,Psychology,ObservationCOT,ReasoningCOT,RemediationCOT,GoodExample
DP-001,amazon.com/checkout,E-commerce,Web,dp-001-amazon-hidden-cost.png,AidUI v1.0,"Lee et al. (2025). Building UI/UX Dataset for Dark Pattern Detection. arXiv:2512.18269",COMP-001,button,850,720,200,48,Dark,Hidden Costs,High,"Loss Aversion, Anchoring Effect","在結帳頁面的底部，運費信息使用灰色小字顯示（#999999），與背景對比度僅為 2.8:1，遠低於 WCAG 要求的 4.5:1。主要價格以粗體大字突出（font-size: 32px），而附加費用卻使用 12px 小字。這種視覺層級設計刻意弱化了額外成本的可見性。","用戶在瀏覽商品時看到的是基礎價格（如 $49.99），這個價格成為心理錨點。當進入結帳頁面時，他們已經投入了時間和精力（沉沒成本），此時突然看到 +$12 運費。根據 Loss Aversion 原理，放棄購買的痛苦會被放大，因為用戶感覺已經『擁有』了這件商品。低對比的文字設計進一步降低了用戶察覺的可能性，增加了誤按結帳的風險。","1. 在商品頁面就清楚顯示『含運總價』或提供運費計算器\n2. 使用高對比顏色（如 #000000 或 #333333）顯示所有費用明細\n3. 在購物車階段就列出完整價格分解：商品價、運費、稅金、總計\n4. 避免使用『僅剩 X 件』等製造緊迫感的語言\n5. 提供『儲存購物車』功能，讓用戶可以稍後決定",good-001-transparent-pricing.png
DP-002,booking.com/hotel,Travel,Web,dp-002-booking-scarcity.png,Manual Collection,"Brignull, H. (2023). Dark Patterns Taxonomy. Deceptive.design",COMP-002,popup,0,0,480,600,Dark,Scarcity & Urgency,High,"Scarcity Effect, FOMO","在飯店預訂頁面，一個紅色橫幅突然彈出，顯示『⚠️ 熱門！過去 24 小時有 87 人查看此房間』和一個倒數計時器『🕐 優惠將在 14:32 後失效』。這個彈窗使用鮮豔的紅色背景（#FF0000）和黃色文字（#FFFF00），創造強烈的視覺緊張感。計時器每秒跳動，但實際上這個『優惠』並沒有實質時間限制。","這種設計利用了稀缺性效應（Scarcity Effect）和錯失恐懼（FOMO）。當用戶看到『87 人正在查看』時，會產生競爭焦慮，擔心房間即將售罄。倒數計時器進一步強化緊迫感，迫使用戶快速決策，減少理性思考的時間。心理學研究顯示，在時間壓力下，人們更容易做出衝動決定。但實際上，這個計時器可能是假的，優惠可能隨時可用。","1. 移除虛假的倒數計時器，只顯示真實的截止時間（如果確實存在）\n2. 將『87 人查看』改為『本週熱門選擇』等不製造焦慮的表述\n3. 使用中性顏色（如藍色或綠色）而非警告色（紅色）\n4. 提供『加入願望清單』功能，讓用戶可以稍後比較\n5. 明確說明取消政策和退款條款，減少用戶的購買風險",good-002-neutral-availability.png
DP-003,linkedin.com/premium,Subscription,Web,dp-003-linkedin-confirmshaming.png,Manual Collection,"Gray et al. (2018). The Dark Patterns That Trick You. Privacy International",COMP-003,button,300,450,250,60,Dark,Confirmshaming,Medium,"Cognitive Dissonance, Social Proof","在 LinkedIn Premium 取消訂閱的流程中，有兩個選項按鈕：『保留我的專業優勢』（綠色、大、突出）和『不了，我不需要進步』（灰色、小、位於下方）。這種不對等的視覺設計和羞辱性的文字，讓選擇取消的用戶感到自己在做『錯誤』或『不上進』的決定。","這是典型的 Confirmshaming 策略，利用認知失調（Cognitive Dissonance）。大多數人認為自己是『想進步的專業人士』，當選項暗示『取消 = 不進步』時，會產生自我認知矛盾。用戶不得不質疑自己的決定：『我真的不需要進步嗎？』這種情緒操縱比理性說明產品價值更為陰險，因為它攻擊用戶的自我形象。","1. 使用中性語言：『保留訂閱』vs『取消訂閱』\n2. 兩個按鈕使用相同大小和視覺權重\n3. 如果要挽留用戶，提供具體價值說明而非情緒操縱：『每月可見到 5 倍更多招聘者』\n4. 提供『暫停訂閱』選項，而非強迫二選一\n5. 尊重用戶決定，簡化取消流程（WCAG 2.1 SC 3.2.4）",good-003-neutral-cancellation.png
DP-004,nytimes.com/subscribe,Media,Web,dp-004-nyt-roach-motel.png,AidUI v1.0,"Lee et al. (2025). arXiv:2512.18269",COMP-004,input_field,200,300,600,200,Dark,Roach Motel,High,"Friction Asymmetry, Learned Helplessness","紐約時報的訂閱流程只需 2 步（email + 付款信息），但取消訂閱需要 7 步：1) 登入帳號 2) 找到隱藏在個人資料深處的『訂閱管理』3) 點擊『管理訂閱』4) 再點擊『查看詳情』5) 滾動到底部找到小字『取消訂閱』6) 填寫問卷說明原因（必填）7) 接電話或在線客服確認。整個過程需要 15-20 分鐘。","這是『易進難出』（Roach Motel）的經典案例。設計刻意製造摩擦不對稱（Friction Asymmetry）：訂閱超簡單 vs 取消超複雜。心理學上，這會引發習得性無助（Learned Helplessness）：用戶嘗試幾次失敗後會放棄，繼續被扣款。這違反了 FTC 的『點擊取消』規則和 WCAG 的一致性原則。Jakob's Law 也提醒我們：用戶期望取消和訂閱一樣簡單。","1. 提供與訂閱相同簡易程度的取消流程（2-3 步即可）\n2. 在帳號首頁顯著位置放置『管理訂閱』按鈕\n3. 移除強制問卷和客服確認要求\n4. 提供即時生效的『立即取消』選項，而非『下個計費週期生效』\n5. 發送確認郵件，但不要求用戶再次點擊確認鏈接",good-004-easy-cancellation.png
DP-005,duolingo.com/shop,Education,Mobile,dp-005-duolingo-social-proof.png,Manual Collection,"Mathur et al. (2019). Dark Patterns at Scale. CHI 2019",COMP-005,popup,0,100,400,150,Neutral,Social Proof (Ethical),Low,"Bandwagon Effect, Informational Social Influence","Duolingo 在課程頁面顯示『🔥 本週 2.3M 用戶正在學習西班牙語』。這個數字是真實的用戶統計數據，使用柔和的綠色背景（品牌色），沒有倒數計時器，也不會阻擋主要內容。用戶可以輕鬆關閉此訊息，且關閉後不會再次彈出。","這是社會證明（Social Proof）的良性使用。它利用從眾效應（Bandwagon Effect），但方式是透明且不操縱的。顯示真實數據建立信任，而非虛假的緊迫感。用戶可以自由選擇是否受此影響，沒有被迫立即行動。這符合說服式設計（Persuasive Design）的倫理準則：影響但不操縱。","這是良好範例，但仍可優化：\n1. 在數字旁邊加上小圖標說明數據來源（如『基於本週活躍用戶統計』）\n2. 提供數據更新頻率的透明說明\n3. 確保數字確實及時更新，避免過時數據\n4. 考慮提供個人化訊息：『在你的城市，5000 人正在學習』\n5. 尊重用戶的關閉選擇，不要重複顯示已關閉的訊息",good-005-duolingo-original.png
DP-006,airbnb.com/wishlists,Travel,Web,dp-006-airbnb-data-hostage.png,Manual Collection,"Brignull, H. (2023). Dark Patterns Taxonomy",COMP-006,popup,100,150,500,400,Dark,Data Hostage,High,"Endowment Effect, Peak-End Rule","當用戶嘗試刪除 Airbnb 帳號時，彈出視窗警告：『刪除帳號後，你將永久失去：15 個願望清單（共 243 個收藏）、3 年的旅行記錄、2 則好評、$120 的未使用優惠券。此操作無法恢復！』視窗使用醒目的紅色警告圖標和粗體大字，強調『永久』和『無法恢復』。","這利用稟賦效應（Endowment Effect）：用戶對『已擁有』的數據賦予過高價值。列出具體數字（243 個收藏）比抽象的『願望清單』更有衝擊力。Peak-End Rule 顯示，刪帳號體驗的結尾（看到失去清單）會主導整體感受，讓用戶產生強烈的損失焦慮。但實際上，Airbnb 完全可以提供數據導出功能，讓用戶保留這些資訊。","1. 提供『下載我的數據』按鈕（符合 GDPR 第 20 條）\n2. 將數據以 JSON 或 CSV 格式導出，包含願望清單、評價、行程記錄\n3. 提供『停用帳號』選項，資料保留但停止服務\n4. 改寫提示語：『刪除前，你可以下載以下資料作為備份...』\n5. 說明未使用優惠券可申請退款或轉給朋友",good-006-data-export.png
DP-007,mobile-game.com/daily,Gaming,Mobile,dp-007-game-forced-continuity.png,Manual Collection,"Luguri & Strahilevitz (2021). Shining a Light on Dark Patterns. Journal of Legal Analysis",COMP-007,button,150,600,300,80,Dark,Forced Continuity,High,"Hyperbolic Discounting, Sunk Cost Fallacy","手遊提供『7 天免費試用』，但在試用開始時就要求綁定信用卡。介面上大大的『開始試用』按鈕（綠色、圓角、陰影），下方極小的灰色文字寫著『試用結束後自動續訂 $9.99/月，除非提前 48 小時取消』。沒有試用結束前的提醒通知，很多用戶在不知情的情況下被扣款。","這利用雙曲貼現（Hyperbolic Discounting）：人們高估眼前利益（免費），低估未來成本（付費）。要求預先綁卡是刻意製造摩擦，因為人們覺得『反正之後會記得取消』（但實際上會忘記）。沉沒成本謬誤也在起作用：一旦投入時間玩遊戲，取消的心理成本更高。FTC 的 ROSCA 法案明確禁止這種『負面選項』策略。","1. 試用期間不要求綁定付款方式，到期後才要求\n2. 在試用結束前 3 天、1 天發送電子郵件和推送通知提醒\n3. 提供一鍵取消按鈕，無需填寫問卷或聯繫客服\n4. 使用同樣大小和對比度的文字說明自動續訂條款\n5. 在試用啟動頁面清楚列出：試用時長、到期日、續訂價格、取消方式",good-007-transparent-trial.png
DP-008,retailer.com/cart,E-commerce,Mobile,dp-008-preselected-checkbox.png,AidUI v1.0,"Lee et al. (2025). arXiv:2512.18269",COMP-008,checkbox,50,520,30,30,Dark,Sneaking,Medium,"Inattentional Blindness, Default Effect","在結帳頁面，『訂閱每週促銷郵件』的 checkbox 預設勾選，且位於價格總計和『確認訂單』按鈕之間。checkbox 標籤使用與背景接近的灰色（#CCCCCC on #F0F0F0），對比度僅為 1.5:1。用戶在專注看總價時，很容易忽略這個已勾選的選項，不小心訂閱了不想要的郵件。","這利用了注意力盲視（Inattentional Blindness）：當用戶專注於某件事（確認價格）時，會忽略其他視覺元素。預設勾選利用預設效應（Default Effect）：研究顯示，85% 的用戶不會改變預設選項。低對比的顏色進一步降低可見性。這違反了 GDPR 的明確同意原則（Article 4(11)），該原則要求 opt-in 必須是主動且明確的選擇。","1. 將 checkbox 改為預設不勾選（opt-in，非 opt-out）\n2. 使用高對比顏色（#000000 文字 on #FFFFFF 背景）\n3. 將郵件訂閱選項移到單獨的確認頁面，與付款流程分開\n4. 在標籤文字中說明郵件頻率：『訂閱每週促銷郵件（約 1 封/週）』\n5. 提供明顯的『隨時取消訂閱』連結",good-008-opt-in-checkbox.png
DP-009,saas-tool.com/pricing,SaaS,Web,dp-009-misdirection.png,Manual Collection,"Gray et al. (2018). Privacy International",COMP-009,button,400,200,180,50,Dark,Misdirection,Medium,"Visual Hierarchy, Framing Effect","定價頁面展示三個方案：Basic、Pro、Enterprise。Pro 方案被刻意設計得最顯眼：更大的卡片、發光邊框、『最受歡迎』橘色標籤、按鈕使用品牌主色（藍色）並寫著『開始使用』。相比之下，Basic 方案的卡片較小，按鈕是灰色輪廓按鈕，文字是『選擇基礎版』。這種視覺層級設計引導用戶選擇更貴的方案，即使 Basic 可能更符合需求。","這利用視覺層級（Visual Hierarchy）和框架效應（Framing Effect）。『最受歡迎』標籤創造社會證明，但可能是虛假的（誰知道是否真的最多人買？）。按鈕的顏色和文字差異也很關鍵：藍色的『開始使用』比灰色的『選擇』更具行動導向。心理學研究顯示，這種視覺操縱可使中階方案的轉化率提高 30-40%，但不一定符合用戶最佳利益。","1. 所有方案使用相同大小的卡片和相同顏色的按鈕\n2. 如果要標註『最受歡迎』，需提供真實數據支持（如『70% 用戶選擇』）\n3. 提供『不確定選哪個？』的需求評估工具\n4. 清楚列出每個方案的功能差異表格\n5. 說明升級/降級政策，讓用戶知道選錯也可以改",good-009-neutral-pricing.png
DP-010,news-site.com/article,Media,Web,dp-010-obstruction.png,Manual Collection,"Mathur et al. (2019). CHI 2019",COMP-010,popup,0,0,800,600,Dark,Obstruction,High,"Reactance, Inaction Inertia","用戶進入新聞網站 3 秒後，全屏 popup 彈出，顯示『👋 訂閱以解鎖完整內容』。popup 覆蓋整個文章，背景半透明但文字無法閱讀。關閉按鈕（✕）非常小（16x16px），位於右上角，且使用淺灰色（#DDDDDD），幾乎看不見。即使找到並點擊關閉，還會再彈出一個二次確認：『確定要錯過我們的深度報導嗎？』","這是阻礙（Obstruction）策略，刻意製造摩擦來迫使用戶訂閱。心理抗拒（Reactance）理論指出，當自由被威脅時，人們會產生反抗情緒。但 Inaction Inertia 效應顯示，如果關閉成本太高（找不到按鈕），用戶可能放棄整個網站而非訂閱。這違反了 Better Ads Standards 和 WCAG 2.1 SC 2.1.1（鍵盤可訪問性）。很多用戶根本找不到 ESC 鍵可以關閉。","1. 如果必須使用 popup，確保關閉按鈕大且明顯（44x44px，深色）\n2. 支援 ESC 鍵、背景點擊關閉\n3. 延遲彈出時間到 15-30 秒，讓用戶先閱讀部分內容\n4. 使用非阻礙性橫幅（Banner）而非全屏 modal\n5. 移除二次確認彈窗，尊重用戶的關閉選擇\n6. 提供『稍後提醒我』選項",good-010-banner-cta.png
